Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2373.268	-2443.132	69.86376	0.0772511	0.0593651	0.0196853	0.0398928	0.0709849	0.0662939	0.0452518	0.026377	0.0506935	0.0316165	0.0489631	0.0901649	0.00844351	0.0153991	0.00728496	0.0249663	0.0148402	0.0363759	0.0450584	0.0289717	0.0203035	0.0136431	0.00775277	0.00710467	0.0298809	0.0209363	0.00386042	0.00605695	0.00471063	0.0587024	0.0391302	0.179207	0.00620451	0.104918	0.0172705	0.0289647	0.0133093	0.0241597	0.0369411	0.00109247	0.00193931	0.00200684	0.0247487	0.0246501	0.00284871	0.0263803	0.0185274	0.00550832	0.0184781	0.0145242	0.00402796	0.700355	1.17479	0.8884553	1.111545	0.106338	0.335208	0.711061	1.40635	2.98322	9.40395	1.620491	1.251098	0.3477551	0.0490275	0.0376761	0.0124933	0.025318	0.0450507	0.0420735	0.0287191	0.0167402	0.0321727	0.0200654	0.0310745	0.0572233	0.00535868	0.00977307	0.00462341	0.0158449	0.00941832	0.023086	0.0285964	0.0183869	0.0128856	0.00865864	0.00492031	0.00450899	0.018964	0.0132873	0.00245002	0.00384405	0.00298961	0.0372556	0.024834	0.113734	0.0039377	0.0665861	0.0109608	0.0183825	0.00844678	0.015333	0.0234447	0.000693338	0.00123078	0.00127364	0.0157068	0.0156442	0.00180794	0.0167423	0.0117585	0.00349586	0.0117271	0.00921779	0.00255635	0.555772	0.444228	1.575668
36	-2371.365	-2441.228	69.86282	0.061601	0.0739343	0.0240773	0.0176442	0.0519666	0.0825175	0.0390994	0.0133766	0.0485345	0.033193	0.05332	0.130813	0.0168092	0.0268584	0.00421863	0.016974	0.0152741	0.0263098	0.0199376	0.0409031	0.0251498	0.0359898	0.000939935	0.00526338	0.0159621	0.00100259	0.00760447	0.00269027	0.028779	0.0104341	0.0143893	0.157245	0.00950325	0.130978	0.0133938	0.0203876	0.0106514	0.0207507	0.0209036	0.00104772	0.0136721	0.0022187	0.0241614	0.0639003	0.0276089	0.033144	0.0199566	0.00106513	0.00321568	0.0167828	0.0179445	0.961647	1.02237	1.074332	0.9256677	0.0999	0.325151	0.704336	1.41978	3.07549	10.01	1.665651	0.8616214	0.5486856	0.0396378	0.0475738	0.0154928	0.0113534	0.0334384	0.0530967	0.0251589	0.00860732	0.03123	0.0213584	0.0343093	0.0841731	0.0108161	0.0172823	0.00271452	0.0109221	0.00982825	0.0169293	0.0128291	0.0263195	0.0161829	0.023158	0.000604811	0.00338678	0.0102709	0.000645125	0.00489317	0.00173108	0.0185181	0.00671391	0.00925891	0.101181	0.00611496	0.0842789	0.00861836	0.0131186	0.00685373	0.0133522	0.0134507	0.000674168	0.00879748	0.00142764	0.0155469	0.0411173	0.0177652	0.0213269	0.0128413	0.00068537	0.00206916	0.0107991	0.0115465	0.462834	0.537166	1.554098
72	-2364.793	-2433.894	69.10078	0.0959409	0.138115	0.0480589	0.0712091	0.110259	0.204717	0.0303994	0.0130655	0.0474196	0.0641319	0.0468412	0.0993695	0.0380707	0.0340592	0.000617177	0.0313994	0.0257246	0.0751434	0.0292448	0.0297407	0.013271	0.0211682	0.0114366	0.0277968	0.0318391	0.016261	0.00937175	0.031654	0.0153569	0.125507	0.0562728	0.0517486	0.0133883	0.00768625	0.00081087	0.0653088	0.00368347	0.0498814	0.00175507	0.0331833	0.0211303	0.0304286	0.239232	0.03244	0.00904992	0.0102699	0.00210933	0.0223735	0.159072	0.0188479	0.0360235	0.713909	1.16689	1.019639	0.9803613	0.143688	0.388215	0.744386	1.34339	2.57589	6.95952	1.402833	0.961479	0.3568874	0.039944	0.0575028	0.0200088	0.0296472	0.0459054	0.085232	0.0126565	0.0054397	0.0197426	0.0267006	0.0195018	0.0413714	0.0158504	0.0141802	0.000256955	0.0130728	0.0107102	0.0312852	0.0121758	0.0123822	0.00552524	0.00881316	0.00476151	0.0115729	0.0132559	0.00677009	0.00390183	0.0131788	0.00639368	0.0522533	0.0234286	0.021545	0.00557406	0.00320009	0.000337597	0.0271907	0.00153358	0.0207676	0.000730706	0.0138155	0.00879737	0.0126686	0.0996018	0.0135061	0.00376784	0.00427577	0.000878197	0.00931496	0.0662279	0.00784712	0.014998	0.490181	0.509819	2.401886
108	-2368.566	-2436.15	67.58416	0.158063	0.131787	0.0350231	0.0774115	0.1453	0.197128	0.0840908	0.059849	0.0656875	0.0701457	0.0870011	0.204889	0.0811877	0.0273733	0.00223453	0.020649	0.0396841	0.0987914	0.0298629	0.09939	0.0159108	0.0394076	0.00329891	0.0101299	0.0261993	0.040066	0.00668565	0.0583829	0.0407324	0.114014	0.0205711	0.0465098	0.38523	0.0241503	0.00433418	0.0345208	0.00785108	0.0250589	0.0735805	0.0190458	0.0531473	0.0277617	0.00370092	0.0647852	0.00514612	2.45525e-06	0.0222823	0.0355991	0.33955	0.0287258	0.103975	0.636396	1.2121	0.9290805	1.070919	0.188991	0.443729	0.776082	1.28852	2.25363	5.29126	1.204674	1.152666	0.3062702	0.0465452	0.0388075	0.0103133	0.0227956	0.0427868	0.0580486	0.0247624	0.0176239	0.0193432	0.020656	0.0256194	0.0603342	0.0239075	0.00806068	0.000658007	0.00608057	0.0116859	0.0290913	0.00879381	0.0292676	0.00468528	0.0116045	0.000971438	0.00298297	0.00771496	0.0117983	0.00196874	0.0171922	0.0119946	0.0335741	0.00605762	0.0136959	0.11344	0.00711161	0.0012763	0.0101654	0.00231193	0.00737917	0.0216674	0.00560847	0.0156504	0.00817504	0.00108982	0.0190774	0.00151539	7.23003e-07	0.00656151	0.010483	0.099988	0.00845894	0.0306178	0.53546	0.46454	3.395904
144	-2363.986	-2433.103	69.11703	0.112345	0.0479919	0.0370569	0.0637414	0.139089	0.131489	0.120985	0.015327	0.0756864	0.0339415	0.0576108	0.0859996	0.0383846	0.0222789	0.00609328	0.0242804	0.0216857	0.0861021	0.057589	0.0383897	0.0212583	0.0277286	0.0103076	0.00262796	0.00916839	0.0143671	0.00769186	0.043643	0.0474253	0.0457033	0.0224883	0.0331344	0.202698	0.011301	0.00115979	0.0189613	0.000589946	0.00785658	0.0719095	0.0145597	0.024647	0.0107325	0.00683787	0.0462002	0.00807669	0.00120258	0.0148333	0.0169433	0.180279	0.0203289	0.0581926	0.801703	1.11567	0.9921492	1.007851	0.126351	0.364618	0.729964	1.36993	2.7426	7.91444	1.495805	1.015826	0.4191726	0.0506304	0.0216285	0.0167004	0.0287263	0.0626834	0.059258	0.0545243	0.0069074	0.0341096	0.0152964	0.0259634	0.0387574	0.0172988	0.0100404	0.00274606	0.0109424	0.00977309	0.0388036	0.0259536	0.0173011	0.00958049	0.0124964	0.00464534	0.00118434	0.00413191	0.00647484	0.00346649	0.0196686	0.0213731	0.0205971	0.0101348	0.0149327	0.0913497	0.00509301	0.00052268	0.00854527	0.000265871	0.00354072	0.0324074	0.00656163	0.0111077	0.0048368	0.00308162	0.020821	0.00363992	0.000541964	0.00668492	0.00763583	0.0812461	0.00916161	0.0262256	0.503925	0.496075	2.21892
180	-2369.181	-2438.943	69.76184	0.0602146	0.0319363	0.0361592	0.0225223	0.0565508	0.0968241	0.0421763	0.00276651	0.0387086	0.0232684	0.0635784	0.102508	0.0202091	0.0320327	0.00392721	0.019475	0.0281705	0.0345167	0.0293583	0.0134867	0.00539093	0.0139461	0.00823403	0.0118271	0.0193527	0.003687	0.00152677	0.026841	0.04241	0.057758	0.00794923	0.0401715	0.0219236	0.0228185	0.0105301	0.00468478	0.000186724	0.0216321	0.002622	0.0159054	0.0248582	0.0287773	0.152037	0.00190742	0.00166242	0.00985741	0.00600982	0.0151954	0.139867	0.0093665	0.0198971	0.738188	1.15272	0.7585113	1.241489	0.131157	0.371317	0.734122	1.36217	2.69312	7.62446	1.468815	1.636744	0.3735582	0.0399507	0.0211888	0.0239906	0.0149429	0.0375199	0.0642401	0.0279828	0.0018355	0.0256821	0.0154379	0.0421825	0.0680114	0.0134082	0.0212528	0.00260559	0.0129211	0.0186904	0.0229008	0.0194784	0.00894807	0.00357673	0.00925281	0.00546305	0.00784697	0.01284	0.00244622	0.00101297	0.0178082	0.0281379	0.0383208	0.00527409	0.0266527	0.0145457	0.0151394	0.00698644	0.00310822	0.000123886	0.0143523	0.00173962	0.0105528	0.0164927	0.0190929	0.100872	0.00126552	0.00110297	0.00654011	0.00398735	0.0100817	0.0927977	0.00621441	0.0132012	0.620744	0.379256	1.507223
216	-2371.392	-2441.14	69.74819	0.153076	0.0563632	0.0228203	0.03807	0.0553158	0.0838388	0.0203445	0.00990641	0.0800002	0.000497641	0.046939	0.0896467	0.0214347	0.0416957	0.00987734	0.0168966	0.00658841	0.0455939	0.0199239	0.0171711	0.00946589	0.0226416	0.00453078	0.000130183	0.0102488	0.0111961	0.00379891	0.000874026	0.0078484	0.0497008	0.0118178	0.0115854	0.116422	0.00829308	0.0152562	0.00411873	0.000254584	0.0368361	0.0371802	0.00985964	0.00906042	0.0156164	0.00156461	0.0316007	0.00631854	0.00515209	0.00417899	0.0078241	0.112204	0.0186579	0.0199025	0.743468	1.14964	0.8274225	1.172577	0.0922923	0.31283	0.695898	1.43699	3.19662	10.8351	1.722924	1.417145	0.3772382	0.106292	0.0391373	0.0158459	0.0264349	0.03841	0.0582158	0.0141267	0.00687879	0.0555504	0.00034555	0.0325934	0.0622486	0.0148838	0.0289526	0.00685861	0.0117326	0.00457485	0.0316594	0.0138347	0.0119232	0.0065729	0.0157218	0.00314608	9.03963e-05	0.00711653	0.00777434	0.00263788	0.000606904	0.00544975	0.0345111	0.00820599	0.00804463	0.0808407	0.00575853	0.0105936	0.00285995	0.000176777	0.0255782	0.0258171	0.00684632	0.00629136	0.0108437	0.00108643	0.0219429	0.00438745	0.0035775	0.0029018	0.00543288	0.0779117	0.0129556	0.0138198	0.586289	0.413711	1.440139
252	-2369.513	-2438.239	68.7254	0.100667	0.106984	0.0696594	0.0754327	0.147961	0.155989	0.0500411	0.0333631	0.119954	0.0328086	0.0718823	0.152426	0.0504408	0.0238773	0.009839	0.0485555	0.0147701	0.150769	0.0385446	0.0538655	0.0298539	0.0276989	0.0338966	0.0217199	0.0306102	0.00680984	0.00992977	0.012749	0.0949739	0.00414669	0.0515993	0.0424533	0.0382508	0.319816	0.0010017	0.0382964	0.00052748	0.00228241	0.0264705	0.0128543	0.0652128	0.0275904	0.285852	0.0760814	0.0153575	0.052115	0.026152	0.0164529	0.0140668	0.00603074	0.0270526	0.604997	1.23042	1.09146	0.9085396	0.183947	0.437913	0.772894	1.29384	2.28356	5.43636	1.224235	0.8324073	0.2868249	0.0344076	0.0365667	0.0238092	0.0257825	0.0505721	0.0533161	0.0171038	0.0114033	0.0409996	0.0112138	0.024569	0.0520984	0.0172404	0.00816112	0.00336292	0.016596	0.00504832	0.051532	0.0131743	0.0184109	0.0102039	0.00946733	0.0115857	0.00742374	0.0104624	0.00232757	0.00339394	0.00435753	0.0324616	0.00141731	0.0176364	0.0145103	0.0130739	0.109311	0.000342377	0.0130895	0.00018029	0.000780115	0.00904747	0.00439354	0.0222894	0.00943026	0.0977025	0.0260042	0.00524913	0.0178126	0.00893862	0.00562353	0.00480795	0.00206127	0.00924643	0.45427	0.54573	2.925735
288	-2374.098	-2441.673	67.57495	0.219217	0.181132	0.056422	0.0453163	0.0932878	0.203585	0.0478383	0.0302484	0.0697046	0.0775051	0.124826	0.14328	0.0465325	0.0636079	0.00469868	0.0605295	0.0328791	0.123781	0.0451303	0.0538816	0.00928237	0.0293216	0.0152718	0.0321749	0.0493738	0.0329227	0.00756821	0.00381771	0.0774758	0.026067	0.0225163	0.0284413	0.10197	0.18738	0.0208161	0.0307631	0.00609565	0.0420824	0.0534687	0.00997543	0.025298	0.0365435	0.402398	0.0929384	0.01086	0.0262955	0.0425193	0.00456722	0.00363695	0.00625705	0.0216172	0.794337	1.11997	0.8133407	1.186659	0.218223	0.47597	0.793251	1.26063	2.10097	4.58247	1.100683	1.458994	0.4137284	0.0688687	0.0569039	0.0177254	0.0142365	0.029307	0.0639578	0.0150288	0.00950275	0.0218982	0.0243488	0.0392151	0.0450123	0.0146185	0.0199829	0.00147613	0.0190158	0.0103292	0.0388867	0.014178	0.0169273	0.00291612	0.0092116	0.00479775	0.010108	0.0155111	0.0103429	0.00237761	0.00119936	0.0243396	0.00818913	0.00707366	0.00893504	0.0320345	0.0588667	0.00653953	0.00966445	0.00191499	0.0132205	0.0167976	0.00313385	0.00794756	0.0114804	0.126416	0.0291973	0.00341174	0.00826091	0.0133577	0.00143482	0.00114258	0.0019657	0.00679119	0.59333	0.40667	3.183119
324	-2375.351	-2444.491	69.13956	0.0766507	0.0558899	0.00701764	0.0846211	0.130261	0.111627	0.107326	0.031244	0.0821824	0.0318746	0.0515499	0.100317	0.0136214	0.0228585	0.00519657	0.0160582	0.0173122	0.0874873	0.0204225	0.0348935	0.00402632	0.0177188	0.00532261	0.0434672	0.0303533	0.00899125	0.0138132	0.00609404	0.021166	0.0510245	0.0477213	0.0762169	0.0186458	0.02101	0.00475042	0.0438312	0.0400198	0.0261194	0.256157	0.0214179	0.0119468	0.0306516	0.195798	0.0224354	0.000699726	0.00101975	0.00131697	0.00490959	0.0644727	0.0174615	0.0359403	0.768694	1.13493	0.9487873	1.051213	0.142407	0.386523	0.743372	1.34522	2.58717	7.02213	1.409309	1.107954	0.3950953	0.0343274	0.0250298	0.00314279	0.0378969	0.0583363	0.0499911	0.0480651	0.0139924	0.0368047	0.0142748	0.0230862	0.0449262	0.00610023	0.010237	0.00232724	0.00719153	0.00775311	0.0391805	0.00914607	0.0156268	0.00180316	0.00793524	0.00238369	0.0194664	0.0135935	0.00402666	0.00618611	0.00272917	0.00947901	0.0228509	0.0213716	0.0341331	0.00835037	0.00940917	0.00212744	0.0196295	0.0179225	0.0116974	0.114718	0.00959182	0.00535029	0.0137271	0.0876865	0.0100475	0.000313367	0.000456686	0.000589793	0.00219872	0.0288736	0.00781998	0.0160956	0.525606	0.474394	2.232929
